1595468148|nan|nan
1595468178|nan|nan
1595468208|nan|nan
1595468238|nan|nan
1595468268|nan|nan
1595468298|nan|nan
1595468328|nan|nan
1595468358|nan|nan
1595468388|24.80|47.70
1595468418|24.80|47.00
1595468449|24.70|46.40
1595468479|24.70|46.00
1595468509|24.50|45.00
1595468540|24.40|44.70
1595468570|24.40|44.80
1595468630|nan|nan
1595468682|nan|nan
1595468712|nan|nan
1595468742|nan|nan
1595468772|nan|nan
1595468802|nan|nan
1595468832|24.80|45.40
1595468862|24.70|45.80
1595468893|24.60|45.80
1595468923|24.50|46.40
1595468953|24.50|47.10
1595469023|nan|nan
1595469053|nan|nan
1595469083|nan|nan
1595469113|nan|nan
1595469143|nan|nan
1595469173|nan|nan
1595469203|nan|nan
1595469233|nan|nan
1595469263|nan|nan
1595469293|nan|nan
1595469323|nan|nan
1595469353|nan|nan
1595469383|nan|nan
1595469413|25.10|45.80
1595469443|25.10|44.90
1595469473|25.00|45.20
1595469503|24.90|44.40
1595469533|24.90|45.10
1595469563|24.70|44.70
1595469593|24.70|45.00
1595469623|24.70|45.80
1595469653|24.60|45.80
1595469683|24.60|46.10
1595469713|24.70|46.10
1595469743|24.70|46.30
1595469773|24.60|46.00
1595469803|24.50|45.00
1595469833|24.40|44.30
1595469863|24.40|44.20
1595469893|24.30|43.80
1595469923|24.30|43.60
1595469953|24.20|43.20
1595469983|24.20|44.40
1595470013|24.20|45.60
1595470043|24.30|46.60
1595470073|24.30|46.80
1595470103|24.30|47.40
1595470133|24.30|48.10
1595470163|24.30|48.00
1595470193|24.30|47.90
1595470223|24.30|48.50
1595470253|24.40|48.90
1595470283|24.40|48.60
1595470313|24.40|48.60
1595470343|24.40|47.90
1595470373|24.40|47.30
1595470403|24.40|46.00
1595470433|24.40|45.10
1595470463|24.30|44.60
1595470493|24.20|43.90
1595470523|24.30|43.60
1595470553|24.20|44.70
1595470583|24.20|44.80
1595470613|24.20|45.40
1595470643|24.20|45.20
1595470673|24.20|45.20
1595470703|24.20|45.40
1595470733|24.20|45.40
1595470763|24.20|46.20
1595470793|24.20|45.70
1595470823|24.20|45.80
1595470853|24.20|45.60
1595470883|24.20|45.50
1595470913|24.20|46.10
1595470943|24.20|46.90
1595470973|24.20|47.10
1595471003|24.30|47.40
1595471033|24.30|47.80
1595471063|24.30|47.90
1595471093|24.30|48.20
1595471123|24.30|48.20
1595471153|24.40|48.30
1595471183|24.50|48.30
1595471213|24.40|47.50
1595471243|24.50|47.20
1595471273|24.40|46.50
1595471303|24.40|45.20
1595471333|24.20|44.70
1595471363|24.20|44.50
1595471393|24.20|43.90
1595471423|24.20|43.80
1595471453|24.10|43.10
1595471483|24.00|43.60
1595471513|24.00|43.50
1595471543|24.00|44.90
1595471573|24.00|46.10
1595471603|24.10|47.00
1595471633|24.10|47.40
1595471663|24.10|48.00
1595471693|24.10|48.10
1595471723|24.10|48.50
1595471753|24.20|49.00
1595471783|24.10|48.40
1595471813|24.10|49.20
1595471843|24.20|49.70
1595471873|24.30|49.70
1595471903|24.30|49.60
1595471933|24.30|48.90
1595471963|24.40|48.20
1595471993|24.40|48.20
1595472023|24.30|47.90
1595472053|24.30|47.40
1595472083|24.30|47.60
1595472113|24.40|47.00
1595472143|24.30|46.50
1595472173|24.40|46.20
1595472203|24.40|46.40
1595472233|24.40|45.80
1595472263|24.40|45.80
1595472293|24.40|45.60
1595472323|24.40|45.10
1595472353|24.40|44.90
1595472383|24.30|45.20
1595472413|24.40|45.40
1595472443|24.40|45.90
1595472473|24.50|45.90
1595472503|24.50|46.30
1595472533|24.50|46.50
1595472563|24.50|46.00
1595472593|24.50|45.10
1595472623|24.40|44.50
1595472653|24.40|43.60
1595472683|24.40|44.00
1595472713|24.30|43.30
1595472743|24.20|42.80
1595472773|24.20|43.00
1595472803|24.10|44.40
1595472833|24.20|45.80
1595472863|24.20|46.40
1595472893|24.20|46.80
1595472923|24.30|47.20
1595472953|24.20|47.70
1595472983|24.30|48.00
1595473013|24.30|48.20
1595473043|24.20|48.50
1595473073|24.20|48.60
1595473103|24.30|49.00
1595473133|24.30|48.20
1595473163|24.20|47.10
1595473193|24.20|46.90
1595473223|24.20|46.20
1595473253|24.10|45.50
1595473283|24.10|45.00
1595473313|24.10|44.60
1595473343|24.10|44.10
1595473373|24.00|44.30
1595473403|24.00|45.90
1595473433|24.00|46.50
1595473463|24.10|46.50
1595473493|24.10|46.70
1595473523|24.10|46.90
1595473553|24.10|46.50
1595473583|24.10|46.10
1595473613|24.10|46.40
1595473643|24.10|46.30
1595473673|24.10|46.10
1595473703|24.10|45.80
1595473733|24.10|45.70
1595473763|24.10|46.20
1595473793|24.10|46.70
1595473823|24.10|47.10
1595473853|24.10|47.40
1595473883|24.10|47.30
1595473913|24.10|47.30
1595473943|24.10|48.10
1595473973|24.30|49.20
1595474003|24.30|48.30
1595474033|24.30|47.90
1595474063|24.30|46.70
1595474093|24.20|45.70
1595474123|24.20|44.70
1595474153|24.20|44.20
1595474183|24.20|45.60
1595474213|24.20|44.50
1595474243|24.20|44.40
1595474273|24.20|43.80
